"No.","Time","Source","Destination","Protocol","Length","Info"
"272206","109.136815358","10.9.2.132","157.240.195.56","TLSv1.2","159","Application Data"
"272207","109.140408043","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"272208","109.141058020","10.9.2.132","157.240.195.56","TLSv1.2","159","Application Data"
"272289","110.346560976","157.240.195.56","10.9.2.132","TLSv1.2","160","Application Data"
"272290","110.352094940","10.9.2.132","157.240.195.56","TLSv1.2","159","Application Data"
"272298","110.499886223","157.240.195.56","10.9.2.132","TLSv1.2","160","Application Data"
"272299","110.506088023","10.9.2.132","157.240.195.56","TLSv1.2","159","Application Data"
"272399","111.682539329","157.240.195.56","10.9.2.132","TLSv1.2","143","Application Data"
"272498","113.081897541","157.240.195.56","10.9.2.132","TLSv1.2","349","Application Data"
"272501","113.127303998","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"272577","115.241943717","157.240.195.56","10.9.2.132","TLSv1.2","186","Application Data"
"272579","115.249158924","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"272700","117.063530132","157.240.195.56","10.9.2.132","TLSv1.2","145","Application Data"
"273412","124.477171335","10.9.2.132","157.240.195.56","TLSv1.2","138","Application Data"
"273767","126.516732481","10.9.2.132","157.240.195.56","TLSv1.2","136","Application Data"
"273768","126.536893315","10.9.2.132","157.240.195.56","TLSv1.2","271","Application Data"
"273771","126.743070668","157.240.195.56","10.9.2.132","TLSv1.2","161","Application Data"
"273807","127.291541318","157.240.195.56","10.9.2.132","TLSv1.2","145","Application Data"
"273825","127.774843309","157.240.195.56","10.9.2.132","TLSv1.2","143","Application Data"
"273899","128.791825098","157.240.195.56","10.9.2.132","TLSv1.2","867","Application Data"
"273910","128.850316536","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"274744","137.188346785","157.240.195.56","10.9.2.132","TLSv1.2","184","Application Data"
"274748","137.221214284","10.9.2.132","157.240.195.56","TLSv1.2","156","Application Data"
"274749","137.221530109","10.9.2.132","157.240.195.56","TLSv1.2","156","Application Data"
"274759","137.374252153","157.240.195.56","10.9.2.132","TLSv1.2","140","Application Data"
"274760","137.385547723","157.240.195.56","10.9.2.132","TLSv1.2","140","Application Data"
"275122","140.492025178","10.9.2.132","157.240.195.56","TLSv1.2","140","Application Data"
"275667","141.454610708","10.9.2.132","157.240.195.56","TLSv1.2","96","Application Data"
"275668","141.454638971","10.9.2.132","157.240.195.56","TLSv1.2","2646","Application Data"
"275846","141.723387290","157.240.195.56","10.9.2.132","TLSv1.2","177","Application Data"
"275852","141.772757558","10.9.2.132","157.240.195.56","TLSv1.2","96","Application Data"
"275853","141.772798338","10.9.2.132","157.240.195.56","TLSv1.2","2166","Application Data"
"275872","141.981110194","157.240.195.56","10.9.2.132","TLSv1.2","177","Application Data"
"275874","141.988427647","157.240.195.56","10.9.2.132","TLSv1.2","160","Application Data"
"275885","142.065985385","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"275887","142.102072614","10.9.2.132","157.240.195.56","TLSv1.2","96","Application Data"
"275888","142.102102469","10.9.2.132","157.240.195.56","TCP","2802","41722  >  443 [PSH, ACK] Seq=60804 Ack=76087 Win=9032 Len=2736 TSval=1553842915 TSecr=2428307360 [TCP segment of a reassembled PDU]"
"275890","142.102653133","10.9.2.132","157.240.195.56","TLSv1.2","1478","Application Data"
"275909","142.237434652","157.240.195.56","10.9.2.132","TLSv1.2","160","Application Data"
"275913","142.356306651","157.240.195.56","10.9.2.132","TLSv1.2","177","Application Data"
"275914","142.356306766","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"275920","142.425087295","10.9.2.132","157.240.195.56","TLSv1.2","96","Application Data"
"275921","142.425107149","10.9.2.132","157.240.195.56","TCP","2802","41722  >  443 [PSH, ACK] Seq=67718 Ack=76389 Win=9032 Len=2736 TSval=1553843238 TSecr=2428307650 [TCP segment of a reassembled PDU]"
"275922","142.425995025","10.9.2.132","157.240.195.56","TLSv1.2","950","Application Data"
"275943","142.701595963","157.240.195.56","10.9.2.132","TLSv1.2","177","Application Data"
"275944","142.701596114","157.240.195.56","10.9.2.132","TLSv1.2","160","Application Data"
"275947","142.701949646","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"275955","142.760754200","10.9.2.132","157.240.195.56","TLSv1.2","96","Application Data"
"275956","142.760776917","10.9.2.132","157.240.195.56","TCP","2802","41722  >  443 [PSH, ACK] Seq=71368 Ack=76691 Win=9032 Len=2736 TSval=1553843574 TSecr=2428307996 [TCP segment of a reassembled PDU]"
